Image FileName	Deme	DemeNumber
2383	obese	5
2384	obese	5
2385	obese	5
2386	obese	5
2387	obese	5
2388	obese	5
2389	obese	5
2390	obese	5
2391	rectangular	1
2392	rectangular	1
2393	obese	5
2394	obese	5
2395	rectangular	1
2396	obese	5
2397	rectangular	1
2398	rectangular	1
2399	obese	5
2400	obese	5
2401	obese	5
2402	rectangular	1
2403	rectangular	1
2404	rectangular	1
2405	rectangular	1
2406	obese	5
2407	rectangular	1
2408	obese	5
2409	obese	5
2410	rectangular	1
2411	obese	5
2412	obese	5
2413	rectangular	1
2414	obese	5
2415	capitate	2
2416	rectangular	1
2417	obese	5
2418	obese	5
2419	obese	5
2420	obese	5
2421	obese	5
2422	rectangular	1
2423	obese	5
2424	obese	5
2425	obese	5
2426	obese	5
2427	obese	5
2428	obese	5
2429	obese	5
2430	rectangular	1
2431	obese	5
2432	obese	5
2433	obese	5
2434	obese	5
2435	obese	5
2436	obese	5
2437	obese	5
2438	obese	5
2439	rectangular	1
2440	obese	5
2441	obese	5
2442	rectangular	1
2443	rectangular	1
2444	obese	5
2445	rectangular	1
2446	obese	5
2447	rectangular	1
2448	obese	5
2449	obese	5
2450	obese	5
2451	rectangular	1
3000	rectangular	1
3001	rectangular	1
3002	rectangular	1
3003	rectangular	1
3004	rectangular	1
3005	rectangular	1
3006	rectangular	1
3007	capitate	2
3008	rectangular	1
3009	rectangular	1
3010	rectangular	1
3011	capitate	2
3012	rectangular	1
3013	capitate	2
3014	rectangular	1
3015	capitate	2
3017	rectangular	1
3018	capitate	2
3019	rectangular	1
3020	capitate	2
3021	small	3
3022	rectangular	1
3023	rectangular	1
3024	obese	5
3025	capitate	2
3026	capitate	2
3027	capitate	2
3028	lanceolate	4
3029	capitate	2
3030	capitate	2
3031	rectangular	1
3032	neat	6
3033	rectangular	1
3034	lanceolate	4
3035	lanceolate	4
3036	lanceolate	4
3037	lanceolate	4
3038	lanceolate	4
3039	lanceolate	4
3040	lanceolate	4
3041	lanceolate	4
3042	lanceolate	4
3045	lanceolate	4
3046	lanceolate	4
3047	lanceolate	4
3048	lanceolate	4
3049	lanceolate	4
3050	lanceolate	4
3051	lanceolate	4
3052	lanceolate	4
3053	lanceolate	4
3054	lanceolate	4
3055	neat	6
3056	lanceolate	4
3058	neat	6
3059	lanceolate	4
3060	lanceolate	4
3061	lanceolate	4
3062	lanceolate	4
3063	neat	6
3064	lanceolate	4
3065	lanceolate	4
3066	lanceolate	4
3067	lanceolate	4
3068	lanceolate	4
3070	lanceolate	4
3072	lanceolate	4
3073	lanceolate	4
3074	lanceolate	4
3075	lanceolate	4
3076	lanceolate	4
3077	lanceolate	4
3078	lanceolate	4
3079	lanceolate	4
3080	lanceolate	4
3083	lanceolate	4
3084	lanceolate	4
3085	lanceolate	4
3086	lanceolate	4
3087	lanceolate	4
3088	lanceolate	4
3090	lanceolate	4
3091	lanceolate	4
3092	neat	6
3093	neat	6
3094	neat	6
3095	neat	6
3096	neat	6
3097	neat	6
3098	neat	6
3099	neat	6
3100	neat	6
3101	neat	6
3102	neat	6
3103	neat	6
3104	neat	6
3105	neat	6
3107	neat	6
3108	neat	6
3109	neat	6
3111	neat	6
3112	neat	6
3113	neat	6
3114	small	3
3115	small	3
3116	small	3
3117	small	3
3118	small	3
3119	small	3
3120	lanceolate	4
3121	lanceolate	4
3122	small	3
3123	small	3
3124	neat	6
3125	neat	6
3126	neat	6
3127	small	3
3128	neat	6
3129	neat	6
3130	neat	6
3131	small	3
3132	small	3
3133	small	3
3134	neat	6
3135	small	3
3136	small	3
3137	neat	6
3138	small	3
3139	small	3
3140	small	3
3141	neat	6
3142	neat	6
3143	neat	6
3144	small	3
3145	neat	6
3146	small	3
3147	neat	6
3148	small	3
3149	small	3
3150	small	3
3151	small	3
3152	neat	6
3153	small	3
3154	small	3
3155	small	3
3156	small	3
3157	small	3
3158	small	3
3159	small	3
3160	small	3
3161	small	3
3162	small	3
3163	small	3
3164	small	3
3165	small	3
3166	small	3
3167	small	3
